so_dang_ky,ten_thuoc,hoat_chat,noi_dung_dieu_tri,ma_icd,trang_thai_xac_nhan,dang_bao_che,danh_muc,ham_luong,url_nguon
VN-10300-05,Zithromax 200mg/5ml,Azithromycin,"Chỉ định Azithromycin
Azithromycin được chỉ định cho các nhiễm khuẩn do vi khuẩn nhạy cảm trong: - Nhiễm khuẩn đường hô hấp dưới, - Nhiễm khuẩn đường hô hấp trên, - Nhiễm khuẩn da và mô mềm, - Các nhiễm khuẩn lây truyền qua đường tình dục không do lậu, - Các nhiễm Chlamydia trachomatis không biến chứng ở đường sinh dục.",,Pending,Bột pha hỗn dịch uống,,,https://thuocbietduoc.com.vn/thuoc-2917/zithromax-200mg5ml.aspx
VN-8602-04,Myonal 50mg,Eperisone,"Chỉ định
- Liệt cứng do: bệnh mạch máu não, liệt cứng do tủy, thoái hoá đốt sống cổ, di chứng sau phẫu thuật. - Cải thiện các triệu chứng tăng trương lực cơ trong hội chứng đốt sống cổ. - viêm quanh khớp vai & thắt lưng.",,Pending,Viên nén,,,https://thuocbietduoc.com.vn/thuoc-10785/myonal-50mg.aspx
VN-15092-12,Arcoxia 90mg,Etoricoxib,"Chỉ định Etoricoxib
Thuốc etoricoxib giúp giảm đau và sưng (viêm); ở khớp và cơ bắp của người bị viêm xương khớp, viêm khớp dạng thấp, viêm đốt sống dính khớp và bệnh gút.
Etoricoxib cũng được sử dụng để điều trị ngắn hạn các cơn đau mức độ vừa phải sau khi phẫu thuật nha khoa.",,Pending,Viên nén bao phim,,,https://thuocbietduoc.com.vn/thuoc-42241/arcoxia-90mg.aspx
VD-21111-14,Partamol 500mg,Acetaminophen,"Chỉ định Paracetamol
Paracetamol được dùng rộng rãi trong điều trị các chứng đau và sốt từ nhẹ đến vừa. 
* Giảm đau: 
Paracetamol được dùng giảm đau tạm thời trong điều trị chứng đau nhẹ và vừa: đau đầu, đau răng, đau bụng kinh... Thuốc có hiệu quả nhất là giảm đau cường độ thấp có nguồn gốc không phải nội tạng. Paracetamol không có tác dụng trị thấp khớp. Paracetamol là thuốc thay thế salicylat (được ưa thích ở người bệnh chống chỉ định hoặc không dung nạp salicylat) để giảm đau nhẹ hoặc hạ sốt. 
* Hạ sốt:


Paracetamol thường được dùng để giảm thân nhiệt ở người bệnh sốt, khi sốt có thể có hại hoặc khi hạ sốt nói chung không đặc hiệu, không ảnh hưởng đến tiến trình của bệnh cơ bản và có thể che lấp tình trạng bệnh của người bệnh.",,Pending,Viên nén,,,https://thuocbietduoc.com.vn/thuoc-355/partamol-500mg.aspx
VN-14201-11,Doniwell,Levosulpiride,"Chỉ định Levosulpiride
Làm giảm các triệu chứng khó tiêu chức năng: trướng bụng, khó chịu vùng thượng vị, ợ nóng, ợ hơi, buồn nôn, nôn.
Điều trị tâm thần phân liệt cấp và mạn tính.",,Pending,Viên nén,,,https://thuocbietduoc.com.vn/thuoc-43626/doniwell.aspx
VN-0465-06,Diamicron MR,Gliclazide,"Chỉ định Gliclazide
Ðái tháo đường týp 2 (không lệ thuộc insulin), phối hợp với chế độ ăn kiêng phù hợp, khi sự kiểm soát đường huyết không đạt được bằng chế độ ăn kiêng đơn thuần.",,Pending,Viên nén phóng thích có kiểm soát-30mg,,,https://thuocbietduoc.com.vn/thuoc-11910/diamicron-mr.aspx
VN-1476-06,Fasigyne,Tinidazole,"Chỉ định Tinidazole
Dự phòng: Ngăn ngừa nhiễm khuẩn sau phẫu thuật do vi khuẩn kỵ khí, đặc biệt là những nhiễm khuẩn sau phẫu thuật đại tràng, tiêu hóa và phụ khoa. Ðiều trị những nhiễm khuẩn sau: 
Nhiễm khuẩn kỵ khí như: 
- Nhiễm khuẩn trong phúc mạc: viêm phúc mạc, áp-xe. 
- Nhiễm khuẩn phụ khoa: viêm nội mạc tử cung, viêm cơ tử cung, áp-xe tử cung-buồng trứng. 
- Nhiễm khuẩn huyết.
 - Nhiễm khuẩn sau phẫu thuật. 
- Nhiễm khuẩn da và mô mềm. 
- Nhiễm khuẩn đường hô hấp trên và dưới: viêm phổi, viêm mủ màng phổi, áp-xe phổi.
 Viêm âm đạo không đặc hiệu. Viêm loét lợi cấp tính. Bệnh Trichomonas đường niệu dục ở cả nam lẫn nữ. Bệnh Giardia. Bệnh amip ruột. Bệnh amip gan.",,Pending,Viên nén bao phim-500mg,,,https://thuocbietduoc.com.vn/thuoc-21471/fasigyne.aspx
VN-17206-13,Betaserc 16mg,Betahistine dihydrochloride 16mg,"Chỉ định Betahistine
Ðiều trị hội chứng Ménière. Hội chứng này thường được biểu hiện bằng chứng chóng mặt, ù tai, nôn ói, nhức đầu và đôi khi kèm theo mất thính lực. Ðiều trị chứng chóng mặt nguyên nhân tiền đình.",,Pending,Viên nén,,,https://thuocbietduoc.com.vn/thuoc-44903/betaserc-16mg.aspx
VN-6459-02,Imdur,Isosorbide 5 Mononitrate,"Chỉ định Isosorbide
- Isosorbid dinitrat là thuốc đầu bảng điều trị cơn đau thắt ngực ở ngoại thể, cắt cơn đau nhanh chóng, có tác dụng rất tốt với cơn đau thắt ngực Prinzmetal. - Phòng cơn đau thắt ngực. - Điều trị nhồi máu cơ tim do thuốc làm hẹp được diện tích thiếu máu và ngoại tử. - Điều trị tăng huyết áp. - Điều trị suy tim sung huyết nhất là suy tim trái có tăng áp lực mao mạch phổi và tăng sức cản ngoại vi.",,Pending,Viên nén tác dụng chậm,,,https://thuocbietduoc.com.vn/thuoc-13219/imdur.aspx
VN-0549-06,Medrol,Methylprednisolone,"Chỉ định Methylprednisolone
Chỉ nên xem việc điều trị với các glucocorticoid như là việc điều trị triệu chứng, ngoại trừ trường hợp rối loạn nội tiết tố mà các thuốc này được dùng như một điều trị thay thế. Tiêm bắp: Methylprednisolone acetate không thích hợp trong các bệnh cấp nguy hại đến tính mạng. Nếu cần một tác động nội tiết tố với cường độ tối đa nhanh chóng, nên chỉ định tiêm tĩnh mạch methylprednisolone sodium succinate tan mạnh trong nước (Solu-Medrol). Khi không thể dùng thuốc theo đường uống và chế phẩm có thể thích hợp cho việc điều trị, tiêm bắp thịt được chỉ định như sau: Ðiều trị kháng viêm: Bệnh khớp: Ðiều trị hỗ trợ với một liệu pháp duy trì (giảm đau, liệu pháp vận động, vật lý trị liệu, vv) và điều trị trong một thời gian ngắn (để bệnh nhân vượt khỏi cơn cấp tính hoặc tình trạng tăng nặng của bệnh): - Viêm khớp do vẩy nến. - Viêm đốt sống do thấp. Ðối với các chỉ định sau đây, thường hay dùng tại chỗ nếu có thể: - Viêm xương khớp sau chấn thương. - Viêm bao hoạt dịch hay viêm xương khớp. - Viêm khớp dạng thấp, bao gồm viêm khớp trẻ em (các trường hợp đặc biệt cần phải sử dụng liệu pháp duy trì). - Viêm bao hoạt dịch cấp và bán cấp. - Viêm mõm lồi cầu. - Viêm bao gân cấp không đặc hiệu. - Viêm khớp cấp do bệnh thống phong. Bệnh tạo keo: Dùng trong pha tăng bệnh trầm trọng hay trong liệu pháp duy trì trong những trường hợp đặc biệt của: - Lupus (ban đỏ hệ thống). - Viêm tim cấp do thấp. - Viêm đa cơ. Bệnh về da: - Viêm da tấy (Pemphigus). - Ban đỏ đa dạng cấp tính (hội chứng Steven-Johnson). - Viêm da tróc vẩy. - Viêm da bóng nước do Herpes. - Viêm da tiết bả nhờn. - Bệnh vẩy nến nặng. - U sùi dạng nấm. Các trạng thái dị ứng: Kiểm soát các trạng thái dị ứng nặng hoặc khó trị đã thất bại với cách điều trị thông thường: - Hen phế quản. - Viêm da tiếp xúc. - Viêm da dị ứng. - Bệnh huyết thanh. - Viêm mũi dị ứng. - Dị ứng do dùng thuốc. - Phản ứng dịch truyền. - Phù thanh quản cấp tính không do nhiễm khuẩn. Các bệnh về mắt: Các tiến trình viêm và dị ứng cấp tính như: - Zona mắt. - Viêm mống mắt, viêm mống mắt thể mi. - Viêm màng mạch võng mạc. - Viêm màng mạch nho sau lan tỏa. - Viêm thần kinh thị. - Phản ứng nhạy cảm với thuốc. - Viêm tiền phòng mắt. - Viêm kết mạc dị ứng. - Loét giác mạc dị ứng. - Viêm giác mạc. Bệnh hệ tiêu hóa: Dùng để đưa bệnh nhân qua khỏi cơn nguy kịch của bệnh trong: - Viêm loét đại tràng. - Bệnh Crohn. Các tình trạng phù: - Ðể giúp bài niệu và giảm protein niệu trong hội chứng thận hư vô căn, không kèm urê máu cao, hay hội chứng thận hư do lupus ban đỏ. Bệnh của hệ hô hấp: - Bệnh Sarcoid phổi. - Ngộ độc berylli. - Lao phổi cấp hay lan tỏa khi đã được sử dụng thuốc kháng lao. - Hội chứng Loeffler không có khả năng dùng thuốc khác. - Viêm phổi hít. Ðiều trị các bệnh về huyêt học và ung thư: Các bệnh về huyết học: - Thiếu máu tán huyết mắc phải (tự miễn). - Giảm tiểu cầu thứ phát ở người lớn. - Giảm nguyên hồng cầu (thiếu máu RBC). - Thiếu máu giảm sản bẩm sinh (dòng hồng cầu). Bệnh ung thư: Ðiều trị tạm thời trong: - Bệnh bạch cầu và U lympho. - Bệnh bạch cầu cấp ở trẻ em. Các bệnh nội tiết: - Suy vỏ thượng thận tiên phát hay thứ phát. - Suy vỏ thượng thận cấp (hydrocortisone và cortisone là thuốc được ưu tiên chọn lựa). Những chất tương đồng tổng hợp có thể được dùng cùng với mineralocorticoid; ở trẻ em, sự cung cấp mineralocorticoid rất quan trọng. - Tăng sản thượng thận bẩm sinh. - Tăng calcium máu do ung thư. - Viêm tuyến giáp không sinh mủ. Tiêm vào bao hoạt dịch, túi hoạt dịch, quanh khớp hay mô mềm: Methylprednisolone acetate được chỉ định như một trị liệu hỗ trợ trong những đợt trị liệu ngắn ngày: - Viêm bao hoạt dịch của viêm xương khớp. - Viêm khớp dạng thấp. - Viêm bao hoạt dịch cấp và bán cấp. - Viêm khớp cấp do bệnh thống phong. - Viêm mõm lồi cầu. - Viêm bao gân cấp không đặc hiệu. - Viêm xương khớp sau chấn thương. Tiêm vào sang thương: Methylprednisolone acetate được chỉ định để tiêm vào trong sang thương trong những bệnh sau: - U sùi. - Các sang thương viêm trong phì đại tại chỗ, thâm nhiễm: mãng lichen, mãng vẩy nến, u hạt vòng và viêm da-thần kinh. - Rụng tóc từng vùng. Methylprednisolone acetate cũng được sử dụng trong bướu bàng quang hay u hạch thần kinh. Nhỏ giọt vào trực tràng: - Viêm loét đại tràng.",,Pending,Viên nén,,,https://thuocbietduoc.com.vn/thuoc-15644/medrol.aspx
VD-20761-14,Kavasdin 5,Amlodipin (dưới dạng Amlodipin besylat) 5mg,"Chỉ định Amlodipine
Dùng một mình để điều trị cao huyết áp, hoặc nếu cần, có thể phối hợp với thuốc lợi tiểu thiazid, thuốc chẹn bêta hoặc thuốc ức chế men chuyển. Ðiều trị thiếu máu cơ tim, đau thắt ngực ổn định hoặc đau thắt ngực vận mạch (Prinzmetal). Thuốc có thể dùng một mình hoặc phối hợp với những thuốc chống đau thắt ngực khác, hoặc dùng trong các trường hợp kháng với nitrat và/hoặc thuốc chẹn bêta.",,Pending,Viên nén,,,https://thuocbietduoc.com.vn/thuoc-46403/kavasdin-5.aspx
VN-16920-13,Dobucin,Dobutamine (dưới dạng Dobutamine HCl) 250mg/5ml,"Chỉ định Dobutamine
Dùng đơn độc hay phối hợp trong giảm cung lượng tim. Suy tuần hoàn do tim (bệnh tim, sau phẫu thuật tim);. Suy tuần hoàn không phải do tim. Dùng làm thử nghiệm rong các thủ thuật chẩn đoán thiếu máu cơ tim.",,Pending,Dung dịch tiêm,,,https://thuocbietduoc.com.vn/thuoc-44715/dobucin.aspx
VN-4737-07,Smecta,Dioctahedral smectite,"Chỉ định Dioctahedral smectite
- Tiêu chảy cấp và mãn tính ở trẻ con và người lớn. - Ðiều trị triệu chứng đau của bệnh thực quản-dạ dày-tá tràng và đại tràng.",,Pending,Thuốc bột pha thành dung dịch treo,,,https://thuocbietduoc.com.vn/thuoc-24269/smecta.aspx
VN-10261-10,Zinnat tablets 500mg,Cefuroxime,"Chỉ định Cefuroxime
Nhiễm khuẩn đường hô hấp dưới như viêm phổi và viêm phế quản cấp và mạn.  Nhiễm khuẩn đường hô hấp trên như nhiễm khuẩn ở tai, mũi, họng ví dụ như viêm tai giữa, viêm xoang, viêm amydale và viêm họng.",,Pending,Viên nén bao phim,,,https://thuocbietduoc.com.vn/thuoc-33482/zinnat-tablets-500mg.aspx
VN-16803-13,Ultracet,"Tramadol hydrochloride 37,5mg; Paracetamol 325mg","Chỉ định Tramadol
Ðau vừa đến đau nặng, đau sau chẩn đoán hay phẫu thuật.",,Pending,Viên nén,,,https://thuocbietduoc.com.vn/thuoc-44598/ultracet.aspx
VN-9133-04,Floxigat 400,Gatifloxacin,"Chỉ định Gatifloxacin
Gatifloxacin được chỉ định cho bệnh nhân ≥ 18 tuổi để điều trị các nhiễm khuẩn xảy ra do các vi khuẩn nhạy cảm sau đây: viêm phổi mắc phải trong cộng đồng, đợt cấp viêm phế quản mạn tính, viêm xoang cấp, nhiễm khuẩn không biến chứng da và các tổ chức da, nhiễm khuẩn tiết niệu không biến chứng (viên bàng quang) và có biến chứng, viêm thận - bể thận, lậu niệu đạo không biến chứng, lậu trực tràng ở nam, lậu cổ tử cung và lậu trực tràng ở nữ.",,Pending,Viên nén bao phim,,,https://thuocbietduoc.com.vn/thuoc-11698/floxigat-400.aspx
VN-0911-06,Motilium-M,Domperidone maleate,"Chỉ định Domperidone
Buồn nôn & nôn do: Viêm dạ dày, viêm gan, viêm đường tiêu hoá, đau nửa đầu; 
nôn hậu phẫu; nôn do dùng thuốc; nôn do xạ trị, nôn mạn tính ở trẻ em.
Chậm tiêu do: Viêm thực quản trào ngược, đầy hơi sau khi ăn, viêm & viêm loét dạ dày.",,Pending,Viên nén-10mg Domperidone,,,https://thuocbietduoc.com.vn/thuoc-10452/motilium-m.aspx
VD-27561-17,Clabact 500,Clarithromycin 500mg,"Chỉ định
Nhiễm trùng đường hô hấp dưới, ví dụ viêm phế quản cấp tính và mạn tính, viêm phổi.
Nhiễm trùng đường hô hấp trên, ví dụ viêm xoang và viêm họng.
Nhiễm trùng da và mô mềm, ví dụ viêm nang lông, viêm mô tế bào và viêm quầng.
Nhiễm vi khuẩn lan tỏa hoặc khu trú do các vi khuẩn Mycobacterium avium hoặc Mycobacterium intracellulare. Nhiễm khuẩn khu trú do Mycobacterium chelonae, Mycobacterium fortuitum, hoặc Mycobacterium kansasii.
Clarithromycin được chỉ định để ngăn ngừa nhiễm khuẩn lan tỏa do Mycobacterium avium complex (MAC); ở những bệnh nhân nhiễm HIV với số lượng tế bào bạch huyết CD4 ít hơn hoặc bằng 100/mm3.
Clarithromycin dùng kết hợp với chất ức chế acid trong chỉ định điều trị diệt trừ H. pylori ở bệnh nhân loét tá tràng tái phát (xem mục Liều dùng và cách dùng).",,Pending,Viên nén bao phim,,,https://thuocbietduoc.com.vn/thuoc-55606/clabact-500.aspx
VD-24789-16,Drotusc Forte,Drotaverin hydroclorid 80 mg,"Chỉ định Drotaverine
- Co thắt dạ dày-ruột. Hội chứng ruột bị kích thích. - Cơn đau quặn mật và các co thắt đường mật: sạn đường mật và túi mật, viêm đường mật. - Cơn đau quặn thận và các co thắt đường niệu-sinh dục: sỏi thận, sỏi niệu quản, viêm bể thận, viêm bàng quang. - Các co thắt tử cung: đau bụng kinh, dọa sẩy thai, co cứng tử cung.",,Pending,Viên nén,,,https://thuocbietduoc.com.vn/thuoc-52779/drotusc-forte.aspx
VN-7200-02,Tanganil 500mg,Acetyl-DL-Leucine,"Chỉ định
Ðiều trị nôn,cơn chóng mặt",,Pending,Viên nén,,,https://thuocbietduoc.com.vn/thuoc-983/tanganil-500mg.aspx
VN-7986-03,No Spa 40mg,Drotaverine,"Chỉ định Drotaverine
- Co thắt dạ dày-ruột. Hội chứng ruột bị kích thích. - Cơn đau quặn mật và các co thắt đường mật: sạn đường mật và túi mật, viêm đường mật. - Cơn đau quặn thận và các co thắt đường niệu-sinh dục: sỏi thận, sỏi niệu quản, viêm bể thận, viêm bàng quang. - Các co thắt tử cung: đau bụng kinh, dọa sẩy thai, co cứng tử cung.",,Pending,Viên nén,,,https://thuocbietduoc.com.vn/thuoc-10576/no-spa-40mg.aspx
VD-21025-14,Dourso,Acid ursodeoxycholic,"Chỉ định Ursodeoxycholic
- Sỏi túi mật cholesterol: Sỏi túi mật nhỏ hoặc không triệu chứng, không cản quang, có đường kính dưới 15 mm, túi mật vẫn hoạt động bình thường (được xác nhận bằng chụp X quang túi mật);, ở các bệnh nhân có sỏi nhưng bị chống chỉ định phẫu thuật. 
- Bệnh gan mật mạn tính đặc biệt là chứng xơ gan mật nguyên phát, viêm xơ đường dẫn mật, bệnh gan mắc phải do chứng bệnh nhầy nhớt.",,Pending,Viên nang cứng,,,https://thuocbietduoc.com.vn/thuoc-46313/dourso.aspx
VN-19164-15,Zyrtec,Cetirizin hydroclorid 1mg/ml,"Chỉ định Cetirizin
Dị ứng hô hấp, viêm mũi, bệnh ngoài da, ngứa, mày đay mạn tính. Viêm kết mạc dị ứng.",,Pending,Dung dịch uống,,,https://thuocbietduoc.com.vn/thuoc-49192/zyrtec.aspx
VD-28451-17,Courtois-20,Rosuvastatin (dưới dạng Rosuvastatin calci) 20mg,"Chỉ định Rosuvastatin
Tăng cholesterol máu nguyên phát (loại IIa kể cả tăng cholesterol máu di truyền gia đình kiểu dị hợp tử) hoặc rối loạn lipid máu hỗn hợp (loại IIb): là một liệu pháp hỗ trợ cho chế độ ăn kiêng khi bệnh nhân không đáp ứng đầy đủ với chế độ ăn kiêng và các liệu pháp không dùng thuốc khác (như tập thể dục, giảm cân). Tăng cholesterol máu gia đình kiểu đồng hợp tử: dùng hỗ trợ cho chế độ ăn kiêng và các biện pháp điều trị giảm lipid khác (như ly trích LDL máu) hoặc khi các liệu pháp này không thích hợp.",,Pending,Viên nén bao phim,,,https://thuocbietduoc.com.vn/thuoc-55720/courtois-20.aspx
VD-26311-17,Piracetam 800mg,Piracetam 800mg,"Chỉ định Piracetam
Điều trị các triệu chứng chóng mặt. Các tổn thương sau chấn thương sọ não và phẫu thuật não: rối loạn tâm thần, tụ máu, liệt nửa người và thiếu máu cục bộ.  Các rối loạn thần kinh trung ương: chóng mặt, nhức đầu, lo âu, sảng rượu, rối loạn ý thức. Suy giảm trí nhớ, thiếu tập trung, sa sút trí tuệ ở người già. Thiếu máu hồng cầu hình liềm. Các trường hợp thiếu máu cục bộ cấp. Điều trị nghiện rượu. Điều trị thiếu máu hồng cầu liềm. Dùng bổ trợ trong điều trị giật rung cơ có nguồn gốc vỏ não.",,Pending,Viên nén bao phim,,,https://thuocbietduoc.com.vn/thuoc-54272/piracetam-800mg.aspx
QLSP-1116-18,Broncho-Vaxom Children,"Chất ly giải vi khuẩn đông khô tiêu chuẩn 40 mg tương đương chất ly giải vi khuẩn đông khô của Haemophilus influenzae, Streptococcus (Diplococcus) pneumoniae, Klebsiella pneumoniae ssp. pneumonia và ssp. ozaenae, Staphylococcus aureus, Streptococcus pyogenes và sanguinis (viridans), Moraxella (Branhamella/Neisseria) catarrhalis 7 mg",,,Pending,Viên nang chứa bột đông khô 20 mg,,,https://thuocbietduoc.com.vn/thuoc-3197/broncho-vaxom-children.aspx
VD-28456-17,Flodilan,Glimepirid 4mg,"Chỉ định Glimepiride
Ðái tháo đường type 2 không phụ thuộc insulin ở người lớn, khi nồng độ đường huyết không thể kiểm soát thỏa đáng được bằng chế độ ăn kiêng, tập thể dục và giảm cân nặng đơn thuần.",,Pending,Viên nén,,,https://thuocbietduoc.com.vn/thuoc-56259/flodilan.aspx
VNB-0988-03,Spasmaverine 40mg,Alverine citrate,"Chỉ định
Chống co thắt cơ trơn đường tiêu hóa, tiết niệu, cơn đau do co thắt.",,Pending,Viên nén,,,https://thuocbietduoc.com.vn/thuoc-1568/spasmaverine-40mg.aspx
VN-19162-15,Seduxen 5 mg,Diazepam 5 mg,"Chỉ định
Trạng thái lo âu, kích động, mất ngủ. Trong trường hợp trầm cảm có các triệu chứng giống như trên, có thể chỉ định dùng diazepam cùng với các thuốc chống trầm cảm. 


Sảng rượu cấp, các bệnh tiền sảng và các triệu chứng cấp cai rượu. 


Cơ co cứng do não hoặc thần kinh ngoại biên, co giật. 


Tiền mê trước khi phẫu thuật.",,Pending,Viên nén,,,https://thuocbietduoc.com.vn/thuoc-49190/seduxen-5-mg.aspx
VN-12029-11,Betaserc 24mg,Betahistine dihydrochloride,"Chỉ định Betahistine
Ðiều trị hội chứng Ménière. Hội chứng này thường được biểu hiện bằng chứng chóng mặt, ù tai, nôn ói, nhức đầu và đôi khi kèm theo mất thính lực. Ðiều trị chứng chóng mặt nguyên nhân tiền đình.",,Pending,Viên nén,,,https://thuocbietduoc.com.vn/thuoc-37867/betaserc-24mg.aspx
VN-18307-14,Eumovate cream,"Clobetasone butyrate (dưới dạng micronised) 0,05%","Chỉ định
Eumovate cream dùng tại chỗ được chỉ định cho người lớn, người già, trẻ em và nhũ nhi nhằm làm giảm các triệu chứng viêm và ngứa của các bệnh ngoài da đáp ứng với Corticoid. Các bệnh ngoài da bao gồm: Viêm da cơ địa (chàm) Viêm da tiếp xúc dị ứng hoặc kích ứng Viêm da tiết bã Hăm da do tã lót Viêm da do tiếp xúc với ánh sáng Viêm tai ngoài Sẩn cục ngứa Côn trùng đốt",,Pending,Kem bôi ngoài da,,,https://thuocbietduoc.com.vn/thuoc-47137/eumovate-cream.aspx
VNB-2758-05,Cinnarizin 25mg,Cinnarizine,"Chỉ định Cinnarizine
- Rối loạn tiền đình: điều trị duy trì các triệu chứng rối loạn mê đạo bao gồm chóng mặt, hoa mắt, choáng váng, ù tai, rung giật nhãn cầu, buồn nôn và nôn. - Phòng ngừa say sóng, say tàu xe và phòng ngừa chứng đau nửa đầu. - Ðiều trị duy trì các triệu chứng bắt nguồn từ mạch máu não bao gồm hoa mắt, choáng váng, ù tai, nhức đầu nguyên nhân mạch máu, rối loạn kích thích và khó hòa hợp, mất trí nhớ, kém tập trung. - Ðiều trị duy trì các triệu chứng rối loạn tuần hoàn ngoại biên bao gồm bệnh Raynaud, xanh tím đầu chi, đi khập khễnh cách hồi, rối loạn dinh dưỡng, loét giãn tĩnh mạch, tê rần, co thắt cơ buổi tối, lạnh đầu chi.",,Pending,Viên nén,,,https://thuocbietduoc.com.vn/thuoc-8068/cinnarizin-25mg.aspx
,Amitriptylin 25mg,Amitriptyline,"Chỉ định
Điều trị triệu chứng trầm cảm, đặc biệt trầm cảm nội sinh (loạn tâm thần hưng trầm cảm);.


Điều trị chọn lọc một số trường hợp đái dầm ban đêm ở trẻ em lớn (sau khi đã loại bỏ biến chứng thực thể đường tiết niệu bằng các test thích hợp).",,Pending,Viên bao phim,,,https://thuocbietduoc.com.vn/thuoc-1717/amitriptylin-25mg.aspx
VN-19857-16,Ama Power,Ampicilin (dưới dạng ampicilin natri) 1000mg; Sulbactam (dưới dạng Sulbactam natri) 500mg,"Chỉ định Sulbactam
Sulbactam phối hợp duy nhất với ampicillin dùng để điều trị các bệnh nhiễm trùng đường hô hấp, niệu đạo, mô mềm, ổ bụng...gây bởi các vi khuẩn nhạy cảm, nhất là các chủng sinh beta lactamase.",,Pending,Bột pha tiêm,,,https://thuocbietduoc.com.vn/thuoc-50973/ama-power.aspx
VN-20517-17,Augmentin 1g,Amoxicillin (dưới dạng Amoxicillin trihydrate) 875 mg; Acid clavulanic (dưới dạng clavulanat potassium) 125 mg,"Chỉ định
Nhiễm trùng đường hô hấp trên & dưới (viêm phổi, viêm tai giữa, viêm xoang cấp, viêm cấp tính nặng của phế quản mãn tính);, da & mô mềm, thận & đường tiểu dưới.",,Pending,Viên nén bao phim,,,https://thuocbietduoc.com.vn/thuoc-54966/augmentin-1g.aspx
VN-19097-15,Fareso 40,Esomeprazol (dưới dạng Esomeprazol magnesium dihydrat) 40mg,"Chỉ định Esomeprazole
Esomeprazole sodium được chỉ định trong bệnh trào ngược dạ dày-thực quản trên bệnh nhân viêm thực quản và/hoặc có triệu chứng trào ngược nặng như là một liệu pháp thay thế cho dạng uống khi liệu pháp dùng qua đường uống không thích hợp.",,Pending,Viên nén bao tan trong ruột,,,https://thuocbietduoc.com.vn/thuoc-49280/fareso-40.aspx
VN-18978-15,Elthon 50mg,Itoprid hydrochlorid 50mg,"Chỉ định
Chữa trị những triệu chứng về dạ dày-ruột gây ra bởi viêm dạ dày mãn (cảm giác đầy chướng bụng, đau bụng trên, chán ăn, ợ nóng, buồn nôn và nôn);.",,Pending,Viên nén bao phim,,,https://thuocbietduoc.com.vn/thuoc-49013/elthon-50mg.aspx
VN-7682-03,Vastarel MR 35mg,Trimetazidine,"Chỉ định Trimetazidine
- Suy mạch vành (phòng cơn đau thắt ngực, dùng sau nhồi máu cơ tim cấp); 
- Khoa mắt: Tổn thương mạch máu ở võng mạc  
- Khoa tai: chứng chóng mặt Méniere hoặc do nguyên nhân vận mạch, giảm thính lực.",,Pending,Viên bao phim dạng phóng thích mới,,,https://thuocbietduoc.com.vn/thuoc-21811/vastarel-mr-35mg.aspx
VNB-3262-05,Hydrocolacyl 5mg,Prednisolone,"Chỉ định Prednisolone
Viêm mống mắt, viêm mống mắt-thể mi, viêm củng mạc, viêm thượng cũng mạc, viêm màng bồ đào. 
Viêm khớp dạng thấp, lupus ban đỏ toàn thân, một số thể viêm mạch: viêm động mạch thái dương và viêm quanh động mạch nút, bệnh sarcoid, hen phế quản, viêm loét đại tràng, thiếu máu tan huyết, giảm bạch cầu hạt và những bệnh dị ứng bao gồm cả phản vệ. 
Ung thư như bệnh bạch cầu cấp, u lympho, ung thư vú và ung thư tuyến tiền liệt ở giai đoạn cuối.",,Pending,Viên nang,,,https://thuocbietduoc.com.vn/thuoc-18297/hydrocolacyl-5mg.aspx
VD-26174-17,Fefasdin 60,Fexofenadin hydroclorid 60mg,"Chỉ định Fexofenadine
- Ðiều trị các triệu chứng viêm mũi dị ứng ở người lớn và trẻ em ≥ 12 tuổi. 
- Những triệu chứng được điều trị có hiệu quả là: hắt hơi, chảy nước mũi, ngứa vòm miệng và họng, mắt ngứa đỏ và chảy nước mắt.",,Pending,Viên nén bao phim,,,https://thuocbietduoc.com.vn/thuoc-54135/fefasdin-60.aspx
